exercise_id,exercise_name,exercise_name_display,category,measurement_unit,calories_per_unit_min,calories_per_unit_max,calories_per_unit_avg,typical_duration_min,session_calories_min,session_calories_max,session_calories_avg,is_verified,created_at,updated_at
ex_1db9092f,walking,Walking,Cardio,minutes,3.0,6.0,4.5,30.0,100.0,180.0,140.0,True,2026-08-17T11:20:15.727278,2026-08-17T11:20:15.727796
ex_e6380349,jogging,Jogging,Cardio,minutes,7.0,12.0,9.5,30.0,200.0,350.0,275.0,True,2026-08-17T11:20:15.727278,2026-08-17T11:20:15.727796
ex_c27d8fb0,running,Running,Cardio,minutes,8.0,15.0,11.5,30.0,250.0,450.0,350.0,True,2026-08-17T11:20:15.727278,2026-08-17T11:20:15.727796
ex_0e0640e5,cycling,Cycling,Cardio,minutes,5.0,10.0,7.5,30.0,150.0,300.0,225.0,True,2026-08-17T11:20:15.727278,2026-08-17T11:20:15.727796
ex_b416c8c3,jump rope,Jump Rope,Cardio,jumps,0.1,0.2,0.15000000000000002,15.0,150.0,250.0,200.0,True,2026-08-17T11:20:15.727278,2026-08-17T11:20:15.727796
ex_b7e3c50a,weight training,Weight Training,Strength,reps,0.3,0.6,0.44999999999999996,45.0,150.0,300.0,225.0,True,2026-08-17T11:20:15.727278,2026-08-17T11:20:15.727796
ex_70cb4138,squats,Squats,Strength,reps,0.3,0.5,0.4,20.0,80.0,150.0,115.0,True,2026-08-17T11:20:15.727278,2026-08-17T11:20:15.727796
ex_fe126ce2,push-ups,Push-ups,Strength,reps,0.3,0.5,0.4,15.0,70.0,120.0,95.0,True,2026-08-17T11:20:15.727278,2026-08-17T11:20:15.727796
ex_f2809a28,lunges,Lunges,Strength,reps,0.3,0.5,0.4,15.0,60.0,100.0,80.0,True,2026-08-17T11:20:15.727278,2026-08-17T11:20:15.727796
ex_ad62e5c6,deadlift,Deadlift,Strength,reps,0.5,1.0,0.75,20.0,100.0,180.0,140.0,True,2026-08-17T11:20:15.727278,2026-08-17T11:20:15.727796
ex_6b85c407,pull-ups,Pull-ups,Strength,reps,0.5,1.0,0.75,10.0,60.0,100.0,80.0,True,2026-08-17T11:20:15.727278,2026-08-17T11:20:15.727796
ex_c9fefa6c,plank,Plank,Strength,minutes,3.0,6.0,4.5,5.0,15.0,30.0,22.5,True,2026-08-17T11:20:15.727278,2026-08-17T11:20:15.727796
ex_77db7a83,hiit,HIIT,Full body,minutes,7.0,15.0,11.0,20.0,150.0,300.0,225.0,True,2026-08-17T11:20:15.727278,2026-08-17T11:20:15.727796
ex_c7b1e8db,burpees,Burpees,Full body,reps,0.5,1.0,0.75,10.0,100.0,150.0,125.0,True,2026-08-17T11:20:15.727278,2026-08-17T11:20:15.727796
ex_42092bbd,mountain climbers,Mountain Climbers,Full body,reps,0.2,0.4,0.30000000000000004,10.0,80.0,120.0,100.0,True,2026-08-17T11:20:15.727278,2026-08-17T11:20:15.727796
ex_3f5ce02e,surya namaskar (sun salutation),Surya Namaskar (Sun Salutation),Yoga,rounds,5.0,10.0,7.5,10.0,50.0,100.0,75.0,True,2026-08-17T11:20:15.727278,2026-08-17T11:20:15.727796
ex_135f6ddf,adho mukha svanasana (downward dog),Adho Mukha Svanasana (Downward Dog),Yoga,minutes,3.0,5.0,4.0,1.0,3.0,5.0,4.0,True,2026-08-17T11:20:15.727278,2026-08-17T11:20:15.727796
ex_f1fc9423,vrikshasana (tree pose),Vrikshasana (Tree Pose),Yoga,minutes,2.0,4.0,3.0,1.0,2.0,4.0,3.0,True,2026-08-17T11:20:15.727278,2026-08-17T11:20:15.727796
