food_id,food_name,food_name_display,aliases,category,subcategory,region,state,vegetarian_status,serving_size_g,calories_per_100g,calories_kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,preparation_variant,is_verified,data_source,created_at,updated_at
food_57429107,aamat,Aamat,[],Main Dish,,,Chhattisgarh,Veg,200.0,140.0,280.0,9.0,30.0,12.0,6.0,0.0,0.0,normal,True,Master Food Database,,
food_f624445a,acai bowl,Acai Bowl,[],Meal/Fruit,,,,Veg,150.0,233.33333333333334,350.0,5.0,60.0,12.0,10.0,30.0,40.0,normal,True,Master Food Database,,
food_81384845,achari baingan,Achari Baingan,[],Vegetable,,North India,,Veg,150.0,86.7,130.0,4.0,15.0,5.0,5.0,0.0,0.0,normal,True,Master Food Database,,
food_d552ff0f,afghani chicken,Afghani chicken,[],,,,,Non-Veg,150.0,101.00666666666666,151.51,15.66,1.95,9.07,0.31,0.83,87.02,normal,True,Master Food Database,,
food_4448a9f7,aioli,Aioli,[],Condiment,,,,Veg,30.0,316.66666666666663,95.0,0.1,0.5,10.5,0.0,0.1,70.0,normal,True,Master Food Database,,
food_a32d862a,aji amarillo paste,Aji Amarillo Paste,[],Condiment,,,,Veg,30.0,16.666666666666664,5.0,0.1,1.0,0.0,0.5,0.5,50.0,normal,True,Master Food Database,,
food_31d87ea8,akki roti,Akki Roti,[],Bread,,,Karnataka,Veg,80.0,312.5,250.0,7.0,42.0,7.0,3.0,0.0,0.0,normal,True,Master Food Database,,
food_c7991802,al yakhani,Al yakhani,[],,,,,Veg,150.0,98.35999999999999,147.54,2.86,4.65,13.14,1.27,3.56,206.24,normal,True,Master Food Database,,
food_966eb51e,alfajores,Alfajores,[],Dessert,,,,Veg,75.0,240.0,180.0,2.0,22.0,10.0,1.0,15.0,60.0,normal,True,Master Food Database,,
food_23c13167,almond biscuit,Almond biscuit,['Badam ke biscuit'],,,,,Veg,150.0,271.82666666666665,407.74,6.25,52.14,19.7,1.5,22.19,151.76,normal,True,Master Food Database,,
food_5c025a1f,almond cardamom cake,Almond cardamom cake,['Badam elaichi cake'],,,,,Veg,150.0,237.5666666666667,356.35,7.18,34.53,21.36,2.35,18.06,155.37,normal,True,Master Food Database,,
food_09eca945,almond milk,Almond Milk,[],Beverage/Dairy-Alt,,,,Veg,250.0,12.0,30.0,1.0,1.0,2.5,1.0,0.0,160.0,normal,True,Master Food Database,,
food_b1121429,almond soup,Almond soup,['Badam ka soup'],,,,,Veg,250.0,31.460000000000004,78.65,10.13,3.68,13.8,0.91,1.94,8376.94,normal,True,Master Food Database,,
food_4d198123,almonds,Almonds,[],Nut,,,,Veg,150.0,109.33333333333333,164.0,6.0,6.0,14.0,3.5,1.0,1.0,normal,True,Master Food Database,,
food_710e45a6,aloo chokha,Aloo Chokha,[],Side Dish,,,Bihar,Veg,100.0,140.0,140.0,4.0,16.0,6.0,4.0,0.0,0.0,normal,True,Master Food Database,,
food_d2ac3ee0,aloo gobi,Aloo Gobi,[],Vegetable,,North India,,Veg,150.0,86.7,130.0,4.0,15.0,5.0,5.0,0.0,0.0,normal,True,Master Food Database,,
food_8b46239e,aloo ke gutke,Aloo Ke Gutke,[],Side Dish,,,Uttarakhand,Veg,100.0,140.0,140.0,4.0,16.0,6.0,4.0,0.0,0.0,normal,True,Master Food Database,,
food_4b31b807,aloo kulcha,Aloo Kulcha,[],Bread,,North India,,Veg,80.0,312.5,250.0,7.0,42.0,7.0,3.0,0.0,0.0,normal,True,Master Food Database,,
food_8735b2c8,aloo matar,Aloo Matar,[],Curry,,North India,,Veg,200.0,115.0,230.0,8.0,18.0,12.0,5.0,0.0,0.0,normal,True,Master Food Database,,
food_c504b018,aloo methi,Aloo Methi,[],Vegetable,,North India,,Veg,150.0,86.7,130.0,4.0,15.0,5.0,5.0,0.0,0.0,normal,True,Master Food Database,,
food_7d6c3581,aloo paratha,Aloo Paratha,[],Bread,,,Punjab,Veg,80.0,312.5,250.0,7.0,42.0,7.0,3.0,0.0,0.0,normal,True,Master Food Database,,
food_886a0a8e,aloo phalliyaan,Aloo Phalliyaan,[],Vegetable,,North India,,Veg,150.0,86.7,130.0,4.0,15.0,5.0,5.0,0.0,0.0,normal,True,Master Food Database,,
food_4a33dad3,aloo pitika,Aloo Pitika,[],Side Dish,,,Assam,Veg,100.0,140.0,140.0,4.0,16.0,6.0,4.0,0.0,0.0,normal,True,Master Food Database,,
food_baf21756,aloo posto,Aloo Posto,[],Main Dish,,,West Bengal,Veg,200.0,140.0,280.0,9.0,30.0,12.0,6.0,0.0,0.0,normal,True,Master Food Database,,
food_5965f28b,aloo puri,Aloo Puri,[],Breakfast,,,Uttar Pradesh,Veg,180.0,122.2,220.0,7.0,32.0,7.0,3.0,0.0,0.0,normal,True,Master Food Database,,
food_e8990f9e,aloo roti,Aloo Roti,[],Bread,,,Haryana,Veg,80.0,312.5,250.0,7.0,42.0,7.0,3.0,0.0,0.0,normal,True,Master Food Database,,
food_514e15c9,aloo shimla mirch,Aloo Shimla Mirch,[],Vegetable,,North India,,Veg,150.0,86.7,130.0,4.0,15.0,5.0,5.0,0.0,0.0,normal,True,Master Food Database,,
food_24f2aa76,aloo tikki,Aloo Tikki,[],Street Food,,,Uttar Pradesh,Veg,180.0,194.4,350.0,8.0,45.0,15.0,5.0,0.0,0.0,normal,True,Master Food Database,,
food_f1d1a7a0,aloo tuk,Aloo Tuk,[],Snack,,North India,,Veg,100.0,280.0,280.0,6.0,32.0,14.0,3.0,0.0,0.0,normal,True,Master Food Database,,
food_5ed1a5ab,alu pitika,Alu Pitika,[],Side Dish,,East India,,Veg,100.0,140.0,140.0,4.0,16.0,6.0,4.0,0.0,0.0,normal,True,Master Food Database,,
food_ae520167,amaranth ladoo,Amaranth ladoo,['Rajgira ladoo'],,,,,Veg,150.0,302.76666666666665,454.15,10.12,51.33,22.7,5.11,19.92,7.51,normal,True,Master Food Database,,
food_f8404fe8,amaretti cookie,Amaretti Cookie,[],Dessert,,,,Veg,75.0,120.0,90.0,2.0,12.0,4.0,1.0,10.0,10.0,normal,True,Master Food Database,,
food_b1adff20,american frosting,American frosting,[],,,,,Veg,150.0,171.7133333333333,257.57,1.05,67.48,0.01,0.0,67.46,19.33,normal,True,Master Food Database,,
food_2f6a19ba,amritsari fish,Amritsari Fish,[],Fish,,,Punjab,Non-Veg,180.0,133.3,240.0,33.0,0.0,13.0,1.0,0.0,0.0,normal,True,Master Food Database,,
food_210e077d,amritsari kulcha,Amritsari Kulcha,[],Bread,,,Punjab,Veg,80.0,312.5,250.0,7.0,42.0,7.0,3.0,0.0,0.0,normal,True,Master Food Database,,
food_38a00078,amti,Amti,[],Curry,,West India,,Veg,200.0,115.0,230.0,8.0,18.0,12.0,5.0,0.0,0.0,normal,True,Master Food Database,,
food_08c761b5,ananas menaskai,Ananas Menaskai,[],Curry,,South India,,Veg,200.0,115.0,230.0,8.0,18.0,12.0,5.0,0.0,0.0,normal,True,Master Food Database,,
food_e1c824d7,andhra chicken curry,Andhra Chicken Curry,[],Curry,,,Andhra Pradesh,Non-Veg,200.0,115.0,230.0,16.0,18.0,12.0,5.0,0.0,0.0,normal,True,Master Food Database,,
food_00e956f0,andhra fish curry,Andhra Fish Curry,[],Seafood,,,Andhra Pradesh,Non-Veg,180.0,122.2,220.0,30.0,1.0,11.0,1.0,0.0,0.0,normal,True,Master Food Database,,
food_77101aea,angakar roti,Angakar Roti,[],Bread,,,Chhattisgarh,Veg,80.0,312.5,250.0,7.0,42.0,7.0,3.0,0.0,0.0,normal,True,Master Food Database,,
food_2b4b0743,angel hair pasta,Angel Hair Pasta,[],Grain,,,,Veg,150.0,133.33333333333331,200.0,7.0,42.0,1.0,2.0,1.0,1.0,normal,True,Master Food Database,,
food_f6ff23ed,angostura bitters,Angostura Bitters,[],Condiment,,,,Veg,30.0,16.666666666666664,5.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,True,Master Food Database,,
food_56248e32,ants on a log,Ants on a Log,[],Snack,,,,Veg,100.0,180.0,180.0,6.0,12.0,12.0,3.0,7.0,120.0,normal,True,Master Food Database,,
