state,food_name,subcategory,food_type,serving_size_g,calories_per_100g,calories_kcal,protein_g,carbs_g,fat_g,fiber_g,calorie_status,data_note
Andhra Pradesh,Pulihora,Rice Dish,Veg,250,120.0,300,8,48,8,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Andhra Pradesh,Gongura Pachadi,Chutney,Veg,50,200.0,100,2,8,6,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Andhra Pradesh,Pesarattu,Breakfast,Veg,180,122.2,220,7,32,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Andhra Pradesh,Gutti Vankaya,Main Dish,Veg,200,140.0,280,9,30,12,6,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Andhra Pradesh,Andhra Chicken Curry,Curry,Non-Veg,200,115.0,230,16,18,12,5,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Andhra Pradesh,Kodi Vepudu,Chicken,Non-Veg,180,166.7,300,33,5,18,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Andhra Pradesh,Royyala Iguru,Seafood,Non-Veg,180,122.2,220,30,1,11,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Andhra Pradesh,Andhra Fish Curry,Seafood,Non-Veg,180,122.2,220,30,1,11,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Andhra Pradesh,Pootharekulu,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Andhra Pradesh,Ariselu,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Andhra Pradesh,Bobbatlu,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Andhra Pradesh,Garelu,Snack,Veg,100,280.0,280,6,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Andhra Pradesh,Punugulu,Snack,Veg,100,280.0,280,6,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Arunachal Pradesh,Thukpa,Noodles,Veg,250,120.0,300,9,45,9,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Arunachal Pradesh,Momos,Snack,Veg,100,280.0,280,6,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Arunachal Pradesh,Zan,Main Dish,Veg,200,140.0,280,9,30,12,6,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Arunachal Pradesh,Khura,Bread,Veg,80,312.5,250,7,42,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Arunachal Pradesh,Gyapa Khazi,Rice Dish,Veg,250,120.0,300,8,48,8,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Arunachal Pradesh,Pika Pila,Pickle,Veg,30,400.0,120,2,7,9,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Arunachal Pradesh,Chura Sabzi,Main Dish,Veg,200,140.0,280,9,30,12,6,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Arunachal Pradesh,Smoked Pork,Meat,Non-Veg,180,194.4,350,32,3,25,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Arunachal Pradesh,Pork Thukpa,Noodles,Non-Veg,250,120.0,300,17,45,9,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Arunachal Pradesh,Chicken Momos,Snack,Non-Veg,100,280.0,280,14,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Arunachal Pradesh,Yak Meat Curry,Meat,Non-Veg,180,194.4,350,32,3,25,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Assam,Khar,Main Dish,Veg,200,140.0,280,9,30,12,6,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Assam,Masor Tenga,Fish,Non-Veg,180,133.3,240,33,0,13,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Assam,Duck Curry,Meat,Non-Veg,180,194.4,350,32,3,25,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Assam,Aloo Pitika,Side Dish,Veg,100,140.0,140,4,16,6,4,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Assam,Bora Saul Payas,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Assam,Pitha,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Assam,Til Pitha,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Assam,Ghila Pitha,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Assam,Duck with Black Sesame,Meat,Non-Veg,180,194.4,350,32,3,25,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Assam,Patot Diya Fish,Fish,Non-Veg,180,133.3,240,33,0,13,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Assam,Paro Manxho,Meat,Non-Veg,180,194.4,350,32,3,25,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Bihar,Litti,Bread,Veg,80,312.5,250,7,42,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Bihar,Litti Chokha,Main Dish,Veg,200,140.0,280,9,30,12,6,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Bihar,Sattu Paratha,Bread,Veg,80,312.5,250,7,42,7,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Bihar,Dal Pitha,Snack,Veg,100,280.0,280,6,32,14,3,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Bihar,Thekua,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Bihar,Khaja,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Bihar,Malpua,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Bihar,Kheer Makhana,Sweet,Veg,75,400.0,300,5,42,12,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Bihar,Chana Ghugni,Main Dish,Veg,200,140.0,280,9,30,12,6,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Bihar,Aloo Chokha,Side Dish,Veg,100,140.0,140,4,16,6,4,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Bihar,Bihari Chicken Curry,Chicken,Non-Veg,180,166.7,300,33,5,18,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Bihar,Bihari Mutton Curry,Meat,Non-Veg,180,194.4,350,32,3,25,2,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
Bihar,Machhli Jhor,Fish,Non-Veg,180,133.3,240,33,0,13,1,Calories consumed,"Approximate regional-food estimate; recipe, oil, brand and portion can change nutrition"
